name,type,deprecated,help,category,title,subtitle,num_inlets,num_outlets,year,author1,contact1,author2,contact2,author3,contact3
cv.jit.elongation,abstraction,0,TRUE,shape,cv.jit.elongation,Calculate the thinness of a shape,1,1,2004,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.face.landmarks.draw,abstraction,0,FALSE,drawing,cv.jit.face.landmarks.draw,Draw detected face landmarks,2,1,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.face.parts,abstraction,0,TRUE,faces,cv.jit.face.parts,Separate face landmarks,1,9,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.face.rigidpoints,abstraction,0,TRUE,faces,cv.jit.face.rigidpoints,Retrieve rigid points from face landmarks,1,1,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.faces.draw,abstraction,0,FALSE,drawing,cv.jit.faces.draw,Draw detected faces,2,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.features.draw,abstraction,0,FALSE,drawing,cv.jit.features.draw,Draw detected image features,3,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.features2track,abstraction,0,TRUE,features,cv.jit.features2track,Find features for cv.jit.track,2,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.flow.draw,abstraction,0,FALSE,drawing,cv.jit.flow.draw,Visualize dense optical flow,2,1,2010,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.framesub,abstraction,0,TRUE,motion,cv.jit.framesub,Consecutive frame difference,1,1,2004,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.grab,abstraction,1,FALSE,utility,cv.jit.grab,,1,2,2010,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.hough2lines,abstraction,0,TRUE,lines,cv.jit.hough2lines,Find lines in Hough space,1,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,Christopher P. Baker,https://christopherbaker.net,Mateusz Herczka,msz@westerplatte.net
cv.jit.iter,abstraction,0,TRUE,utility,cv.jit.iter,Output one row or column at a time,1,2,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.keypoints.draw,abstraction,0,FALSE,drawing,cv.jit.keypoints.draw,Draw detected keypoints,2,1,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.lines.draw,abstraction,0,FALSE,drawing,cv.jit.lines.draw,Draw detected straight lines,3,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.lowpass,abstraction,0,TRUE,filtering,cv.jit.lowpass,Smooth a sequence of values,1,1,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.module.presence,abstraction,0,TRUE,utility,cv.jit.module.presence,Likelyhood that something is in front of the camera,1,1,2015,Les Stuck,,,,,
cv.jit.notempty,abstraction,0,TRUE,utility,cv.jit.notempty,"Returns whether a matrix is ""empty""",1,2,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.open,abstraction,0,TRUE,morphology,cv.jit.open,Morphological open operation,1,1,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.orientation,abstraction,0,TRUE,shape,cv.jit.orientation,Calculate main axis of image,1,1,2004,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.perimeter,abstraction,0,TRUE,shape,cv.jit.perimeter,Count the number of edge pixels.,1,1,2004,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.poltocar,abstraction,1,TRUE,utility,cv.jit.poltocar,,2,2,2004,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.scale_source_&_lcd,abstraction,1,FALSE,utility,cv.jit.scale_source_&_lcd,,3,1,2015,Les Stuck,,,,,
cv.jit.shift.draw,abstraction,0,FALSE,drawing,cv.jit.shift.draw,Draw shift tracking results,3,1,2008,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.snake.draw,abstraction,1,FALSE,drawing,cv.jit.snake.draw,,2,1,2008,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.stddev,abstraction,1,TRUE,utility,cv.jit.stddev,Standard deviation,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.touches.draw,abstraction,0,FALSE,drawing,cv.jit.touches.draw,Draw compact region tracking results,4,1,2010,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.touches,abstraction,0,TRUE,tracking,cv.jit.touches,Track several compact regions,1,3,2010,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.track.draw,abstraction,0,FALSE,drawing,cv.jit.track.draw,Draw feature tracking results,2,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.undergrad,abstraction,0,TRUE,recognition,cv.jit.undergrad,Simple pattern recognition,2,1,2004,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.variance,abstraction,1,TRUE,utility,cv.jit.variance,Variance,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.kalman,external,0,TRUE,filtering,cv.jit.kalman,Use a Kalman filter to remove noise in a signal,1,1,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.learn,external,0,TRUE,recognition,cv.jit.learn,Perform pattern analysis and recognition,2,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.noise,external,0,TRUE,utility,cv.jit.noise,Generate floating-point noise values,1,1,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.snake,external,1,TRUE,tracking,cv.jit.snake,Active contours,2,2,2008,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.surf,external,1,FALSE,features,cv.jit.surf,,1,2,,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.surf.match,external,1,FALSE,features,cv.jit.surf.match,,2,2,,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.trackpoints,external,1,FALSE,tracking,cv.jit.trackpoints,,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.keypoints.match,external,0,TRUE,features,cv.jit.keypoints.match,Find matches between two sets of keypoints,4,2,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.face.landmarks,external,0,TRUE,faces,cv.jit.face.landmarks,Find important facial features,2,2,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.findhomography,external,1,TRUE,perspective,cv.jit.findhomography,Calculates the perspective transform from n corresponding points.,2,2,2010,Antoine Villeret,antoine.villeret@gmail.com,,,,
cv.jit.getperspective,external,1,TRUE,perspective,cv.jit.getperspective,Apply getperspective operation on a binary image,2,2,2010,Antoine Villeret,antoine.villeret@gmail.com,,,,
cv.jit.perspective,external,1,TRUE,perspective,cv.jit.perspective,Performs perspective transformation on a matrix of points.,2,2,2010,Antoine Villeret,antoine.villeret@gmail.com,,,,
cv.jit.unproject,external,0,TRUE,perspective,cv.jit.unproject,Find the position and rotation of objects,2,3,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.binedge,external,0,TRUE,morphology,cv.jit.binedge,Find binary edge pixels,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.bounds,external,0,TRUE,blobs,cv.jit.blobs.bounds,Find blob bounds,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.centroids,external,0,TRUE,blobs,cv.jit.blobs.centroids,Locate labeled blobs,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.direction,external,0,TRUE,blobs,cv.jit.blobs.direction,Calculate blob direction,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.elongation,external,0,TRUE,blobs,cv.jit.blobs.elongation,Calculate blob elongation,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.moments,external,0,TRUE,blobs,cv.jit.blobs.moments,Analyse blob shapes,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.orientation,external,0,TRUE,blobs,cv.jit.blobs.orientation,Calculate blob axes,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.recon,external,0,TRUE,blobs,cv.jit.blobs.recon,Find shapes among blobs,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.sort,external,0,TRUE,blobs,cv.jit.blobs.sort,Re-order labels for continuity,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blur,external,0,TRUE,processing,cv.jit.blur,Apply gaussian blur to an image,1,2,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.calibration,external,1,TRUE,perspective,cv.jit.calibration,Camera calibration using Zhang method,1,2,2010,Antoine Villeret,antoine.villeret@gmail.com,,,,
cv.jit.canny,external,0,TRUE,processing,cv.jit.canny,Extract edges in an image,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.centroids,external,0,TRUE,shape,cv.jit.centroids,Find image centroids,1,3,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.covariance,external,1,TRUE,utility,cv.jit.covariance,,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.dilate,external,0,TRUE,morphology,cv.jit.dilate,Apply dilate operation on a binary image,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.erode,external,0,TRUE,morphology,cv.jit.erode,Apply erode operation on a binary image,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.extrema,external,0,TRUE,lines,cv.jit.extrema,Find local peaks in an image,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,Christopher P. Baker,https://christopherbaker.net,Mateusz Herczka,msz@westerplatte.net
cv.jit.faces,external,0,TRUE,faces,cv.jit.faces,Find faces in an image,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.features,external,0,TRUE,features,cv.jit.features,Find features in an image,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.findchessboardcorners,external,1,TRUE,perspective,cv.jit.findchessboardcorners,Find chessboardcorners in an input stream,1,3,2010,Antoine Villeret,antoine.villeret@gmail.com,,,,
cv.jit.floodfill,external,0,TRUE,blobs,cv.jit.floodfill,Isolate a connected component in a binary image,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.hough,external,0,TRUE,lines,cv.jit.hough,Compute Hough space,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,Christopher P. Baker,https://christopherbaker.net,Mateusz Herczka,msz@westerplatte.net
cv.jit.hsflow,external,1,TRUE,motion,cv.jit.hsflow,Calculate dense optical flow,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.keypoints,external,0,TRUE,features,cv.jit.keypoints,Find keypoints and their descriptors in an image,1,3,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.label,external,0,TRUE,blobs,cv.jit.label,Separate a binary image in blobs,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.lines,external,0,TRUE,lines,cv.jit.lines,Find straight lines in an image,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.lkflow,external,1,TRUE,motion,cv.jit.lkflow,Calculate dense optical flow,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.mass,external,0,TRUE,shape,cv.jit.mass,Add all pixel values,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.mean,external,0,TRUE,processing,cv.jit.mean,Average incoming matrices,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.moments,external,0,TRUE,shape,cv.jit.moments,Shape analysis,1,5,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.opticalflow,external,0,TRUE,motion,cv.jit.opticalflow,Calculate dense optical flow,1,2,2010,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.ravg,external,0,TRUE,processing,cv.jit.ravg,Calculate the running average over time,1,2,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.resize,external,0,TRUE,utility,cv.jit.resize,High-quality matrix resize,1,2,2010,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.shift,external,0,TRUE,tracking,cv.jit.shift,Track an image area,1,4,2008,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.sum,external,0,TRUE,shape,cv.jit.sum,Add all pixel values,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.threshold,external,0,TRUE,processing,cv.jit.threshold,Apply threshold operation on a binary image,1,2,2010,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.track,external,0,TRUE,tracking,cv.jit.track,Track features in an image,1,2,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
